"Name","Impressions per 7 days","Uniques per 7 days","Average CPM"
"300x250","2549044736","62497744","1.226689100265503"
"250x250","1453232896","44051476","0.8417098522186279"
"320x50","1375100032","40681756","0.9591916799545288"
"336x280","1212993280","37120260","1.3178300857543945"
"300x50","1024085184","35615524","0.7737179398536682"
"200x200","485121920","31925990","1.35871422290802"
"320x100","262660352","21447036","1.3359884023666382"
"360x50","253033296","4619219","0.5868354439735413"
"300x600","214996832","18587788","3.266347885131836"
"728x90","177470000","7447862","0.6842681765556335"
"320x480","147535904","9422634","5.991926193237305"
"160x600","116789224","15238004","1.842228889465332"
"375x50","95859960","1223386","0.3629116714000702"
"360x640","81389904","2640797","4.647470474243164"
"360x280","73151344","2192662","0.2960118353366852"
"120x600","49851964","5294230","3.3256664276123047"
"414x50","46975024","668552","0.364451140165329"
"360x300","43502816","3769559","1.1406983137130737"
"468x60","40126080","2726437","0.5802018642425537"
"360x592","38865348","1158806","3.7755165100097656"
"234x60","26602838","3056080","0.9766280651092529"
"300x100","25935970","3209951","2.3096225261688232"
"480x320","25780696","1331489","5.844903945922852"
"970x250","21495332","2949662","1.9127918481826782"
"375x280","21294288","854433","0.27582022547721863"
"970x90","20438170","1880427","1.3295272588729858"
"768x90","16174427","298195","1.0383549928665161"
"250x360","15448594","664060","6.735982894897461"
"375x312","15194482","1573808","0.4981088936328888"
"414x280","14471457","482952","0.26338863372802734"
"600x300","14112892","648055","6.7322306632995605"
"241x209","10565154","2694708","2.5255017280578613"
"640x360","10067882","498115","6.594916820526123"
"414x345","9906429","919014","0.5075912475585938"
"375x667","8921711","543883","9.49808406829834"
"601x90","8868081","136743","0.9422509074211121"
"320x200","7434104","1933215","3.543440341949463"
"1024x90","6907067","216486","3.4390807151794434"
"320x280","5940039","295387","0.32516807317733765"
"356x280","5795714","150782","0.36627867817878723"
"768x1024","5633139","284436","9.351975440979004"
"320x360","5589055","349298","10.968073844909668"
"320x568","5213644","341717","8.023783683776855"
"320x266","5068196","452066","0.43008100986480713"
"425x600","4983399","196550","8.718244552612305"
"414x736","4982557","299318","10.62019157409668"
"320x250","4950547","703651","0.6344445943832397"
"360x250","4681834","1231248","0.6794103384017944"
"412x90","4470683","25832","0.394477516412735"
"412x732","4423791","192619","5.07821798324585"
"320x460","4332255","254954","4.863546848297119"
"1024x768","4260654","206378","9.586932182312012"
"250x50","4224152","1114722","3.75"
"412x280","3871765","131688","0.31186535954475403"
"180x150","3644328","1067831","0.4046667814254761"
"962x553","3642643","45206","2.5815365314483643"
"601x914","3484280","110068","4.422513961791992"
"375x250","3211917","812315","0.610270082950592"
"190x240","3208828","292017","3.521897554397583"
"393x50","2993465","33132","0.5016884803771973"
"598x360","2858968","96590","5.745240688323975"
"601x60","2745530","92097","0.8800369501113892"
"412x343","2739915","260008","0.7326152324676514"
"300x75","2568073","149940","0.9745191931724548"
"220x90","2438350","119053","0.7584523558616638"
"480x70","2437227","117930","0.7510878443717957"
"601x962","2429645","88447","4.584486484527588"
"800x90","2398759","65142","1.0282139778137207"
"371x280","2362818","35940","0.443666934967041"
"120x240","2286444","332451","0.18548078835010529"
"320x569","2179184","63457","5.180054664611816"
"592x360","2098037","89290","5.431314945220947"
"601x280","1978421","14600","0.363497793674469"
"750x300","1935742","82551","5.8532209396362305"
"318x60","1894747","46891","0.059344954788684845"
"600x90","1855156","64861","0.8630254864692688"
"414x250","1803211","481268","0.5816972255706787"
"960x90","1780186","74970","5.3757643699646"
"140x300","1695669","95467","0.04267594963312149"
"355x200","1681630","354633","3.727872133255005"
"930x180","1651024","54191","5.817467212677002"
"412x50","1642882","14600","0.6957560181617737"
"414x60","1536744","34255","0.44558748602867126"
"728x120","1458405","268431","0.9801231622695923"
"316x250","1432572","17127","0.46937862038612366"
"480x90","1408425","27517","0.5146970152854919"
"320x570","1392701","47733","3.842481851577759"
"1014x90","1284036","18251","0.19943836331367493"
"410x280","1276174","26674","0.2861056923866272"
"330x300","1270278","14320","0.2385764867067337"
"375x60","1197835","56718","0.8972079753875732"
"318x250","1194465","44925","0.1745181530714035"
"640x280","1177899","116807","0.19136115908622742"
"962x601","1165825","40994","7.219355583190918"
"360x365","1142520","197673","0.11343572288751602"
"983x90","1136062","29763","0.22330205142498016"
"320x521","1111353","41556","4.873280048370361"
"490x700","1102929","268993","2.500509262084961"
"1280x752","1054915","32009","6.503350734710693"
"282x235","1037506","100240","0.3775750696659088"
"298x250","1022062","56438","0.44230493903160095"
"350x110","1002969","386923","2.502791166305542"
"800x1232","981910","44083","5.646370887756348"
"320x74","970959","2527","0.18789204955101013"
"1280x800","968432","14600","4.92955207824707"
"340x280","936423","183634","0.6868844032287598"
"360x60","929122","131408","6.359751224517822"
"1200x90","912275","23586","0.21782997250556946"
"958x90","875492","11793","0.28645583987236023"
"615x120","856679","42398","0.2481480985879898"
"313x250","841236","64580","0.7301769852638245"
"125x125","832251","201323","0.4355228543281555"
"300x60","826635","263096","0.9438484311103821"
"667x280","811753","33975","0.3119508922100067"
"600x976","802768","27236","4.529425621032715"
"375x371","798556","122422","0.09413501620292664"
"667x375","798276","73004","10.183272361755371"
"393x327","787325","28359","0.49696892499923706"
"393x280","782832","41275","0.31870511174201965"
"1012x90","774409","3369","0.5934227108955383"
"630x60","763177","146008","0.5729838013648987"
"800x1280","724148","20497","5.431238651275635"
"330x250","719655","199920","0.5410768389701843"
"580x400","717409","69073","6.566313743591309"
"640x60","694385","128600","0.18356649577617645"
"980x90","683434","51945","0.4554273188114166"
"1000x250","654794","62615","3.754284143447876"
"732x412","653390","36221","3.552813768386841"
"736x414","652267","50260","6.793395519256592"
"534x90","644966","17127","0.8088419437408447"
"352x280","638508","21620","0.33964821696281433"
"320x60","630084","38748","1.1536587476730347"
"630x280","613799","36221","0.16322506964206696"
"568x320","602567","37625","8.031791687011719"
"160x45","592740","122984","2.500246286392212"
"1024x552","583193","11231","10.541352272033691"
"393x699","582632","24709","4.942289352416992"
"320x534","581228","18251","3.9759020805358887"
"1112x90","575893","3088","0.2214675098657608"
"950x90","573646","31728","0.5516872406005859"
"360x598","556799","32852","4.306777000427246"
"520x290","556799","117368","2.560231924057007"
"359x280","548376","50541","0.15321557223796844"
"1280x90","546691","20497","0.7268809676170349"
"327x250","525632","40152","0.5123612284660339"
"344x280","524228","78901","0.24317620694637299"
"600x912","523386","11512","3.3451244831085205"
"414x387","521420","69073","0.08434031158685684"
"768x60","502888","5334","1.4434747695922852"
"758x90","498676","10669","0.3094588816165924"
"534x854","487726","23866","4.793349742889404"
"589x60","481268","6738","0.18141768872737885"
"600x280","475652","22462","0.30291619896888733"
"320x260","469475","36502","4.576770782470703"
"480x806","464140","12916","3.5002293586730957"
"330x280","459366","231648","2.4085450172424316"
"408x280","455435","7862","0.8866949081420898"
"600x60","452627","49980","0.3000558912754059"
"1260x250","450662","112595","3.058952808380127"
"591x60","450100","71600","0.643131673336029"
"360x692","438307","22182","7.419171333312988"
"411x50","432692","10669","2.514594078063965"
"737x36","428480","207501","2.5180013179779053"
"480x280","423987","15724","0.2822980284690857"
"360x604","420618","21901","7.406850337982178"
"597x60","418933","7019","0.2219906598329544"
"670x90","417810","57280","0.8557797074317932"
"300x1050","414440","68231","5.8425445556640625"
"375x313","410790","43521","0.40149006247520447"
"360x601","405174","12073","3.316354513168335"
"350x292","405174","41837","0.6170337796211243"
"345x280","402647","92940","0.47989529371261597"
"943x90","395628","22462","0.7227465510368347"
"614x280","389170","47172","0.10612551122903824"
"310x250","386081","128600","0.5143927335739136"
"612x60","382431","68792","0.39752572774887085"
"600x1024","377377","5896","3.620283365249634"
"375x812","376534","27236","16.231576919555664"
"350x280","362214","83955","0.6094651818275452"
"424x280","358002","14039","0.32237619161605835"
"400x280","350421","33694","0.37806883454322815"
"330x374","349860","75250","0.4183788299560547"
"610x90","347613","2246","0.22115477919578552"
"636x280","342840","13477","0.21153974533081055"
"300x500","342559","167348","0.5217623710632324"
"334x50","340032","20497","0.1272914707660675"
"424x90","335539","1965","0.08739747852087021"
"333x250","328520","39871","0.4608292877674103"
"568x280","325993","17970","0.17638245224952698"
"355x280","322342","64580","0.5326045751571655"
"420x600","322062","16285","5.578622341156006"
"962x90","320939","16285","0.30008748173713684"
"521x320","318692","7019","7.454657554626465"
"412x798","315604","22182","7.112410545349121"
"404x1486","304372","3088","0.02456640638411045"
"480x32","301283","25832","1.975461483001709"
"384x280","299037","62615","0.31860098242759705"
"450x50","298476","23024","2.551166534423828"
"424x50","295949","9546","0.5703699588775635"
"768x976","294264","13758","4.100773811340332"
"319x50","292298","842","0.18070228397846222"
